# 牧野羽瑠による確認 (2026-05-25)
# フレーム番号は1分刻み 1-45=前半, 46-90=後半
# 間違いフレーム: 3,6,14,15,16,18,20,21,22,25,29,36,39,42,43,47,48,49,50,52,53,54,55,56,57,59,60,61,64,66,67,70,71,72,73,77,79,80,81,82,83,84,85

1H 1分 OK
1H 2分 OK
1H 3分 NG
1H 4分 OK
1H 5分 OK
1H 6分 NG
1H 7分 OK
1H 8分 OK
1H 9分 OK
1H 10分 OK
1H 11分 OK
1H 12分 OK
1H 13分 OK
1H 14分 NG
1H 15分 NG
1H 16分 NG
1H 17分 OK
1H 18分 NG
1H 19分 OK
1H 20分 NG
1H 21分 NG
1H 22分 NG
1H 23分 OK
1H 24分 OK
1H 25分 NG
1H 26分 OK
1H 27分 OK
1H 28分 OK
1H 29分 NG
1H 30分 OK
1H 31分 OK
1H 32分 OK
1H 33分 OK
1H 34分 OK
1H 35分 OK
1H 36分 NG
1H 37分 OK
1H 38分 OK
1H 39分 NG
1H 40分 OK
1H 41分 OK
1H 42分 NG
1H 43分 NG
1H 44分 OK
1H 45分 OK
2H 1分 OK
2H 2分 NG
2H 3分 NG
2H 4分 NG
2H 5分 NG
2H 6分 OK
2H 7分 NG
2H 8分 NG
2H 9分 NG
2H 10分 NG
2H 11分 NG
2H 12分 NG
2H 13分 OK
2H 14分 NG
2H 15分 NG
2H 16分 NG
2H 17分 OK
2H 18分 OK
2H 19分 NG
2H 20分 OK
2H 21分 NG
2H 22分 NG
2H 23分 OK
2H 24分 OK
2H 25分 NG
2H 26分 NG
2H 27分 NG
2H 28分 NG
2H 29分 OK
2H 30分 OK
2H 31分 OK
2H 32分 NG
2H 33分 OK
2H 34分 NG
2H 35分 NG
2H 36分 NG
2H 37分 NG
2H 38分 NG
2H 39分 NG
2H 40分 NG
2H 41分 OK
2H 42分 OK
2H 43分 OK
2H 44分 OK
2H 45分 OK
